entity_id,entity_name,fy_label,reporting_currency,capex,cash_and_equivalents,committed_facilities_total,cost_of_sales,debt_current,debt_noncurrent,employees,finance_costs,fx_forward_notional,gross_debt,inventory,revenue_foreign,revenue_south_africa,revenue_total,trade_payables,trade_receivables,undrawn_facilities
E01,BHP Group,FY2025,USD,9794000000.0,11894000000.0,5500000000.0,,2018000000.0,22478000000.0,91304.0,1111000000.0,373000000.0,24496000000.0,6978000000.0,,,51262000000.0,5082000000.0,3081000000.0,5500000000.0
E02,Glencore,FY2025,USD,6892000000.0,2945000000.0,13285000000.0,241672000000.0,14494000000.0,26992000000.0,140000.0,2729000000.0,,41486000000.0,33955000000.0,,,247535000000.0,35614000000.0,23826000000.0,12900000000.0
E03,Anglo American,FY2025,USD,3300000000.0,6436000000.0,12436000000.0,,1075000000.0,14406000000.0,60000.0,677000000.0,,15481000000.0,3819000000.0,,,18546000000.0,2479000000.0,2390000000.0,6000000000.0
E04,AngloGold Ashanti,FY2025,USD,1600000000.0,2905000000.0,1767000000.0,5022000000.0,19000000.0,2025000000.0,38243.0,220000000.0,,2044000000.0,1251000000.0,,,9893000000.0,1001000000.0,122000000.0,1470000000.0
E05,Gold Fields,FY2025,USD,1399000000.0,1779200000.0,,3680800000.0,178700000.0,2559500000.0,23235.0,120700000.0,0.0,2738200000.0,1156000000.0,,,8751300000.0,908100000.0,380700000.0,
E06,Valterra Platinum,FY2025,ZAR,17319000000.0,16602000000.0,30602000000.0,87772000000.0,4046000000.0,0.0,28616.0,1209000000.0,,4046000000.0,32931000000.0,105627000000,10771000000.0,116330000000,21923000000.0,4806000000.0,26556000000.0
E07,OUTsurance Group,FY2025,ZAR,373000000.0,1865000000.0,1350000000.0,,0.0,0.0,,136000000.0,199000000.0,0.0,,22647000000.0,14484000000.0,37131000000.0,1434000000.0,1866000000.0,1350000000.0
E08,Sanlam,FY2025,ZAR,571000000.0,36179000000.0,7400000000.0,1507000000.0,6059000000.0,12519000000.0,23363.0,2046000000.0,,18578000000.0,,2131000000.0,23618000000.0,128652000000.0,36891000000.0,18629000000.0,2246000000.0
E09,Shoprite Holdings,FY2025,ZAR,8000000000.0,9946000000.0,,191259000000,489000000.0,6504000000.0,168000.0,4758000000.0,,6993000000.0,29748000000.0,20568000000.0,236114000000,256682000000,34160000000.0,6291000000.0,
E10,Bid Corporation,FY2025,ZAR,6230666000.0,11768592000.0,,177918144000.0,3501875000.0,14461050000.0,30581.0,630700000.0,,17962925000.0,19262680000.0,,14135471000.0,235591182000.0,29250696000.0,25275650000.0,26400000000.0
E11,Pepkor Holdings,FY2025,ZAR,2404000000.0,5066000000.0,3000000000.0,57388000000.0,1200000000.0,12183000000.0,,3354000000.0,3517000000.0,13383000000.0,18618000000.0,13884000000.0,81456000000.0,95340000000.0,12023000000.0,1551000000.0,1000000000.0
E12,Clicks Group,FY2025,ZAR,984528000.0,3255770000.0,,36428426000.0,0.0,0.0,20102.0,380675000.0,642000000.0,0.0,7818704000.0,,,47828079000.0,8366717000.0,1897013000.0,
E13,NEPI Rockcastle,FY2025,EUR,66480000.0,313994000.0,740000000.0,4439000.0,300991000.0,2713689000.0,687.0,103963000.0,,3014680000.0,0.0,919401000.0,0.0,919401000.0,179289000.0,113533000.0,740000000.0
E14,Prosus,FY2026,USD,98000000.0,6682000000.0,2500000000.0,5198000000.0,1846000000.0,15199000000.0,41998.0,645000000.0,,17045000000.0,271000000.0,,,9705000000.0,1109000000.0,570000000.0,2500000000.0
E15,Naspers,FY2026,USD,122000000.0,6820000000.0,,6027000000.0,1846000000.0,15478000000.0,,685000000.0,,17324000000.0,347000000.0,,,10848000000.0,1170000000.0,608000000.0,
E16,MTN Group,FY2025,ZAR,38500000000.0,42625000000.0,,,17755000000.0,52619000000.0,,16500000000.0,,70374000000.0,1310000000.0,176215000000.0,50492000000.0,226707000000.0,63183000000.0,34411000000.0,35948000000.0
E17,Vodacom Group,FY2026,ZAR,23600000000.0,31209000000.0,,,8781000000.0,84096000000.0,,8333000000.0,,92877000000.0,2112000000.0,75415000000.0,92237000000.0,167652000000.0,46767000000.0,35406000000.0,15337000000.0
E18,The Bidvest Group,FY2025,ZAR,2928788000.0,6193638000.0,,91540464000.0,5336113000.0,33751708000.0,131326.0,2747082000.0,,39087821000.0,14835934000.0,35181643000.0,91008903000.0,126600000000.0,22554599000.0,20127631000.0,
E19,Aspen Pharmacare,FY2025,ZAR,2576000000.0,6409000000.0,52020000000.0,24234000000.0,4612000000.0,31508000000.0,9557.0,1918000000.0,5022000000.0,36120000000.0,18009000000.0,,,43360000000.0,10675000000.0,13162000000.0,15900000000.0
E20,Shaftesbury Capital plc,FY2025,GBP,113300000.0,361400000.0,750000000.0,61200000.0,438400000.0,772400000.0,101.0,52000000.0,,1210800000.0,,,,238900000.0,98100000.0,98100000.0,750000000.0
