entity_id,entity_name,fy_label,foreign_currency,fy_start,fy_end,avg_rate,closing_rate,n_obs,status
E01,BHP Group,FY2025,USD,2024-07-01,2025-06-30,18.1569,17.7758,249,OK
E01,BHP Group,FY2025,GBP,2024-07-01,2025-06-30,23.483,24.3502,249,OK
E01,BHP Group,FY2025,EUR,2024-07-01,2025-06-30,19.7411,20.8323,249,OK
E02,Glencore,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E02,Glencore,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E02,Glencore,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E03,Anglo American,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E03,Anglo American,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E03,Anglo American,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E04,AngloGold Ashanti,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E04,AngloGold Ashanti,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E04,AngloGold Ashanti,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E05,Gold Fields,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E05,Gold Fields,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E05,Gold Fields,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E06,Valterra Platinum,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E06,Valterra Platinum,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E06,Valterra Platinum,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E07,OUTsurance Group,FY2025,USD,2024-07-01,2025-06-30,18.1569,17.7758,249,OK
E07,OUTsurance Group,FY2025,GBP,2024-07-01,2025-06-30,23.483,24.3502,249,OK
E07,OUTsurance Group,FY2025,EUR,2024-07-01,2025-06-30,19.7411,20.8323,249,OK
E08,Sanlam,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E08,Sanlam,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E08,Sanlam,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E09,Shoprite Holdings,FY2025,USD,2024-07-01,2025-06-30,18.1569,17.7758,249,OK
E09,Shoprite Holdings,FY2025,GBP,2024-07-01,2025-06-30,23.483,24.3502,249,OK
E09,Shoprite Holdings,FY2025,EUR,2024-07-01,2025-06-30,19.7411,20.8323,249,OK
E10,Bid Corporation,FY2025,USD,2024-07-01,2025-06-30,18.1569,17.7758,249,OK
E10,Bid Corporation,FY2025,GBP,2024-07-01,2025-06-30,23.483,24.3502,249,OK
E10,Bid Corporation,FY2025,EUR,2024-07-01,2025-06-30,19.7411,20.8323,249,OK
E11,Pepkor Holdings,FY2025,USD,,,,,0,BLOCKED_NO_FYE
E11,Pepkor Holdings,FY2025,GBP,,,,,0,BLOCKED_NO_FYE
E11,Pepkor Holdings,FY2025,EUR,,,,,0,BLOCKED_NO_FYE
E12,Clicks Group,FY2025,USD,,,,,0,BLOCKED_NO_FYE
E12,Clicks Group,FY2025,GBP,,,,,0,BLOCKED_NO_FYE
E12,Clicks Group,FY2025,EUR,,,,,0,BLOCKED_NO_FYE
E13,NEPI Rockcastle,FY2025,USD,,,,,0,BLOCKED_NO_FYE
E13,NEPI Rockcastle,FY2025,GBP,,,,,0,BLOCKED_NO_FYE
E13,NEPI Rockcastle,FY2025,EUR,,,,,0,BLOCKED_NO_FYE
E14,Prosus,FY2026,USD,2025-04-01,2026-03-31,17.3435,17.0943,251,OK
E14,Prosus,FY2026,GBP,2025-04-01,2026-03-31,23.2397,22.5781,251,OK
E14,Prosus,FY2026,EUR,2025-04-01,2026-03-31,20.0943,19.6054,251,OK
E15,Naspers,FY2026,USD,2025-04-01,2026-03-31,17.3435,17.0943,251,OK
E15,Naspers,FY2026,GBP,2025-04-01,2026-03-31,23.2397,22.5781,251,OK
E15,Naspers,FY2026,EUR,2025-04-01,2026-03-31,20.0943,19.6054,251,OK
E16,MTN Group,FY2025,USD,2025-01-01,2025-12-31,17.8829,16.598,250,OK
E16,MTN Group,FY2025,GBP,2025-01-01,2025-12-31,23.5568,22.316,250,OK
E16,MTN Group,FY2025,EUR,2025-01-01,2025-12-31,20.181,19.4686,250,OK
E17,Vodacom Group,FY2026,USD,2025-04-01,2026-03-31,17.3435,17.0943,251,OK
E17,Vodacom Group,FY2026,GBP,2025-04-01,2026-03-31,23.2397,22.5781,251,OK
E17,Vodacom Group,FY2026,EUR,2025-04-01,2026-03-31,20.0943,19.6054,251,OK
E18,The Bidvest Group,FY2025,USD,2024-07-01,2025-06-30,18.1569,17.7758,249,OK
E18,The Bidvest Group,FY2025,GBP,2024-07-01,2025-06-30,23.483,24.3502,249,OK
