date,foreign_currency,zar_per_unit
2023-01-03,EUR,18.0113
2023-01-04,EUR,17.8745
2023-01-05,EUR,18.0318
2023-01-06,EUR,18.088
2023-01-09,EUR,18.1907
2023-01-10,EUR,18.2161
2023-01-11,EUR,18.2955
2023-01-12,EUR,18.1642
2023-01-13,EUR,18.1415
2023-01-16,EUR,18.4001
2023-01-17,EUR,18.5095
2023-01-18,EUR,18.3887
2023-01-19,EUR,18.5547
2023-01-20,EUR,18.7024
2023-01-23,EUR,18.7421
2023-01-24,EUR,18.7885
2023-01-25,EUR,18.7528
2023-01-26,EUR,18.6406
2023-01-27,EUR,18.7729
2023-01-30,EUR,18.7633
2023-01-31,EUR,18.8451
2023-02-01,EUR,18.9282
2023-02-02,EUR,18.7601
2023-02-03,EUR,18.6852
2023-02-06,EUR,18.879
2023-02-07,EUR,18.9205
2023-02-08,EUR,18.8442
2023-02-09,EUR,19.0424
2023-02-10,EUR,19.0532
2023-02-13,EUR,19.2173
2023-02-14,EUR,19.164
2023-02-15,EUR,19.277
2023-02-16,EUR,19.2886
2023-02-17,EUR,19.4351
2023-02-20,EUR,19.2857
2023-02-21,EUR,19.4475
2023-02-22,EUR,19.5665
2023-02-23,EUR,19.4317
2023-02-24,EUR,19.3966
2023-02-27,EUR,19.3592
2023-02-28,EUR,19.5919
2023-03-01,EUR,19.3232
2023-03-02,EUR,19.3303
2023-03-03,EUR,19.2847
2023-03-06,EUR,19.3823
2023-03-07,EUR,19.5192
2023-03-08,EUR,19.6862
2023-03-09,EUR,19.6493
2023-03-10,EUR,19.5568
2023-03-13,EUR,19.4328
2023-03-14,EUR,19.4613
2023-03-15,EUR,19.5656
2023-03-16,EUR,19.4891
2023-03-17,EUR,19.5163
2023-03-20,EUR,19.7294
2023-03-22,EUR,19.9715
2023-03-23,EUR,19.7523
2023-03-24,EUR,19.5979
2023-03-27,EUR,19.7018
2023-03-28,EUR,19.7862
2023-03-29,EUR,19.6574
2023-03-30,EUR,19.6461
2023-03-31,EUR,19.3727
2023-04-03,EUR,19.442
2023-04-04,EUR,19.4424
2023-04-05,EUR,19.6318
2023-04-06,EUR,19.788
2023-04-11,EUR,20.006
2023-04-12,EUR,20.1263
2023-04-13,EUR,20.1117
2023-04-14,EUR,20.0365
2023-04-17,EUR,19.9187
2023-04-18,EUR,20.0121
2023-04-19,EUR,20.017
2023-04-20,EUR,19.96
2023-04-21,EUR,19.8312
2023-04-24,EUR,19.9487
2023-04-25,EUR,20.0998
2023-04-26,EUR,20.1771
2023-04-28,EUR,20.2346
2023-05-02,EUR,20.2169
2023-05-03,EUR,20.2792
2023-05-04,EUR,20.1825
2023-05-05,EUR,20.2394
2023-05-08,EUR,20.245
2023-05-09,EUR,20.2156
2023-05-10,EUR,20.5603
2023-05-11,EUR,20.7031
2023-05-12,EUR,21.1439
2023-05-15,EUR,20.6916
2023-05-16,EUR,20.8179
2023-05-17,EUR,20.7949
2023-05-18,EUR,21.025
2023-05-19,EUR,20.8696
2023-05-22,EUR,20.8561
2023-05-23,EUR,20.7914
2023-05-24,EUR,20.705
2023-05-25,EUR,20.7104
2023-05-26,EUR,21.1859
2023-05-29,EUR,21.1498
2023-05-30,EUR,21.1618
2023-05-31,EUR,21.0983
2023-06-01,EUR,21.2005
2023-06-02,EUR,21.0327
2023-06-05,EUR,20.6837
2023-06-06,EUR,20.567
2023-06-07,EUR,20.4683
2023-06-08,EUR,20.3264
2023-06-09,EUR,20.2607
2023-06-12,EUR,20.0985
